datetime,open,high,low,close,volume,rsi,macd,macdsignal,macdhist,fastk,fastd
2017-10-02 02:00:00,255.39,257.02,250.0,251.71,23409.9650774,51.4071216646,0.125272487646,-3.05132644405,3.1765989317,0.0,60.3671294693
2017-10-03 02:00:00,251.71,255.0,245.0,248.43,34343.7906776,50.1974748522,0.156624384725,-2.40973627829,2.56636066302,0.0,33.3333333333
2017-10-04 02:00:00,248.43,251.57,246.01,249.17,20284.0016636,50.4805836555,0.238434282611,-1.88010216611,2.11853644872,23.4042532428,7.80141774761
2017-10-05 02:00:00,249.17,253.69,246.0,251.63,26613.9276733,51.4682628783,0.496052472891,-1.40487123831,1.9009237112,100.0,41.1347510809
2017-10-06 02:00:00,251.52,262.29,251.0,261.89,29716.969267,55.4585292732,1.51069860518,-0.821757269613,2.3324558748,100.0,74.4680844143
2017-10-07 02:00:00,261.89,267.22,258.25,264.0,28223.5886346,56.2550980503,2.45675242843,-0.166055330004,2.62280775844,100.0,100.0
2017-10-08 02:00:00,263.75,265.25,260.18,261.15,21010.2614187,54.828786342,2.94261508279,0.455678752555,2.48693633024,0.0,66.6666666667
2017-10-09 02:00:00,261.41,262.16,241.21,250.8,61179.909416,49.8824824736,2.46410160592,0.857363323228,1.60673828269,0.0,33.3333333333
2017-10-10 02:00:00,250.79,256.96,246.5,251.92,31337.5594162,50.4038957449,2.15046168408,1.1159829954,1.03447868868,10.5414726861,3.51382422871
2017-10-11 02:00:00,251.92,256.72,251.55,255.08,19234.2916168,51.9236649032,2.13230548681,1.31924749368,0.813057993133,100.0,36.847157562
2017-10-12 02:00:00,255.06,258.2,252.21,252.83,37134.5920914,50.7316299304,1.91429358882,1.43825671271,0.476036876111,21.5647346047,44.0354024303
2017-10-13 02:00:00,252.93,289.7,249.0,283.51,119518.386683,63.1532954623,4.16907864209,1.98442109859,2.1846575435,100.0,73.8549115349
2017-10-14 02:00:00,283.53,291.9,281.4,283.57,33665.743378,63.1728505748,5.89292358533,2.76612159594,3.1268019894,100.0,73.8549115349
2017-10-15 02:00:00,282.67,286.8,270.0,280.99,63735.7883165,61.6575422302,6.97054656269,3.60700658929,3.3635399734,0.0,66.6666666667
2017-10-16 02:00:00,280.99,293.06,278.9,281.65,49695.3834166,61.9092513564,7.78805121375,4.44321551418,3.34483569957,16.6110829603,38.8703609868
