datetime,rsi,stoch_rsi,fast_k,fast_d
2017-12-21 01:00:00,56.173567896,52.0668105381,55.934514986,67.097240226
2017-12-22 01:00:00,57.2692438503,55.7486531324,52.9617191424,57.8065953113
2017-12-23 01:00:00,58.1986588009,58.871802399,55.5624220232,54.8195520505
2017-12-24 01:00:00,62.7950493616,74.3172326658,62.9792293991,57.1677901882
2017-12-25 01:00:00,67.6808253913,90.7350961979,74.6413770876,64.3943428366
2017-12-26 01:00:00,76.9385785816,100.0,88.3507762879,75.3237942582
2017-12-27 01:00:00,79.2531134951,100.0,96.9116987326,86.6346173694
2017-12-28 01:00:00,75.4458005103,90.1298611717,96.7099537239,93.9908095815
2017-12-29 01:00:00,68.1157860959,71.1274150442,87.0857587386,93.5691370651
2017-12-30 01:00:00,64.8261554911,62.5993242641,74.6188668267,86.1381930964
2017-12-31 01:00:00,65.9923218661,58.3684534358,64.0317309147,75.24545216
2018-01-01 01:00:00,63.440087699,32.354386206,51.1073879687,63.2526619034
2018-01-02 01:00:00,58.3402188475,10.5379569424,33.7535988614,49.6309059149
2018-01-03 01:00:00,57.5718444158,7.25097311468,16.7144387544,33.8584751948
2018-01-04 01:00:00,56.1263447965,1.06735523872,6.28542843194,18.9178220159
2018-01-05 01:00:00,71.6438169686,67.4486375528,25.2556553021,16.0851741628
2018-01-06 01:00:00,80.4799151491,100.0,56.1719975972,29.2376937771
2018-01-07 01:00:00,62.4875866742,26.1203666882,64.5230014137,48.6502181043
2018-01-08 01:00:00,61.2065871071,20.8603594343,48.9935753741,56.5628581283
2018-01-09 01:00:00,55.8122211201,0.0,15.6602420408,43.0589396095
2018-01-10 01:00:00,56.5812003722,3.11735361736,7.99257101721,24.2154628107
2018-01-11 01:00:00,63.4594955285,31.0011726244,11.3728420806,11.6752183795
2018-01-12 01:00:00,61.4808322969,22.9798990135,19.0328084184,12.7994071721
2018-01-13 01:00:00,57.5723991496,7.13555968167,20.3722104399,16.9259536463
2018-01-14 01:00:00,56.1783089994,1.48407823954,10.5331789782,16.6460659455
2018-01-15 01:00:00,56.2176826929,1.64369467333,3.42111086485,11.442166761
2018-01-16 01:00:00,51.7459558594,0.0,1.04259097096,4.99896027135
2018-01-17 01:00:00,53.5558484653,6.29879296364,2.64749587899,2.37039923826
2018-01-18 01:00:00,53.422786302,5.8357096761,4.04483421325,2.57830702106
2018-01-19 01:00:00,54.2045569397,8.5564298866,6.89697750878,4.52976920034
2018-01-20 01:00:00,53.06553397,4.59239917917,6.32817958063,5.75666376755
2018-01-21 01:00:00,51.7059319497,0.0,4.38294302192,5.86936670378
2018-01-22 01:00:00,50.5426722971,0.0,1.53079972639,4.08064077631
2018-01-23 01:00:00,51.4045136109,2.87882661091,0.959608870303,2.29111720621
2018-01-24 01:00:00,50.5286297002,0.0,0.959608870303,1.15000582233
2018-01-25 01:00:00,49.1270739068,0.0,0.959608870303,0.959608870303
2018-01-26 01:00:00,49.1535703146,0.184870418273,0.0616234727574,0.660280404454
2018-01-27 01:00:00,47.5230536258,0.0,0.0616234727574,0.360951938606
2018-01-28 01:00:00,44.8408675428,0.0,0.0616234727574,0.0616234727575
2018-01-29 01:00:00,44.4999039804,0.0,0.0,0.0410823151716
2018-01-30 01:00:00,43.5519169251,0.0,0.0,0.0205411575858
2018-01-31 01:00:00,42.0061520256,0.0,0.0,1.42524880786e-14
2018-02-01 01:00:00,39.5230186557,0.0,0.0,1.42524880786e-14
2018-02-02 01:00:00,45.0924048038,37.934622656,12.6448742187,4.21495807289
2018-02-03 01:00:00,43.5562320439,27.4713269833,21.8019832131,11.4822858106
2018-02-04 01:00:00,43.9430954671,30.1063602864,31.8374366419,22.0947646912
2018-02-05 01:00:00,42.2086098007,18.2923007999,25.2899960232,26.3098052928
2018-02-06 01:00:00,46.1913825529,49.2402167727,32.5462926197,29.8912417616
2018-02-07 01:00:00,46.5880940408,57.9916741964,41.8413972563,33.2258952997
2018-02-08 01:00:00,46.2659420871,56.7514732511,54.6611214067,43.0162704276
2018-02-09 01:00:00,48.9955376058,79.7249755674,64.8227076716,53.7750754449
2018-02-10 01:00:00,47.5307478318,72.7604232396,69.7456240194,63.0764843659
2018-02-11 01:00:00,46.9682125778,77.3080731588,76.5978239886,70.3887185599
2018-02-12 01:00:00,47.1943659507,79.6563641076,76.574953502,74.3061338367
2018-02-13 01:00:00,46.8600689134,77.4561686956,78.1402019873,77.1043264926
2018-02-14 01:00:00,49.9115057817,100.0,85.704177601,80.1397776968
2018-02-15 01:00:00,52.1113632085,100.0,92.4853895652,85.4432563845
2018-02-16 01:00:00,53.0537125671,100.0,100.0,92.7298557221
2018-02-17 01:00:00,53.5046936207,100.0,100.0,97.4951298551
2018-02-18 01:00:00,51.5182180759,85.7922920557,95.2640973519,98.421365784
2018-02-19 01:00:00,51.9640770268,86.361498211,90.7179300889,95.3273424803
2018-02-20 01:00:00,48.4932216252,55.6353150767,75.9297017811,87.3039097406
2018-02-21 01:00:00,48.7970690274,58.325162346,66.7739918779,77.807207916
2018-02-22 01:00:00,47.7167108446,48.7611559165,54.2405444464,65.6480793685
2018-02-23 01:00:00,50.286815938,55.9997154111,54.3620112246,58.458849183
2018-02-24 01:00:00,47.0936530274,11.4344433081,38.7317715453,49.1114424054
2018-02-25 01:00:00,48.3225779224,28.4114715892,31.9485434362,41.680775402
2018-02-26 01:00:00,50.4522471664,54.0614167272,31.3024438749,33.9942529521
2018-02-27 01:00:00,54.8987871946,100.0,60.8242961055,41.3584278055
2018-02-28 01:00:00,55.4645836536,100.0,84.6871389091,58.9379596298
2018-03-01 01:00:00,53.9415563342,82.2996721436,94.0998907145,79.8704419097
2018-03-02 01:00:00,53.169860343,73.3311711363,85.2102810933,87.9991035723
2018-03-03 01:00:00,53.1039668416,71.7998282698,75.8102238499,85.0401318859
2018-03-04 01:00:00,53.8035073194,80.1566109144,75.0958701068,78.70545835
2018-03-05 01:00:00,52.6515594853,66.3953233642,72.7839208495,74.5633382687
2018-03-06 01:00:00,49.4537410943,28.1938552868,58.2485965218,68.7094624927
2018-03-07 01:00:00,54.038271386,82.9611266497,59.1834351002,63.4053174905
2018-03-08 01:00:00,51.9824162295,58.4016690666,56.5188836677,57.9836384299
2018-03-09 01:00:00,48.3945959483,15.5411982136,52.3013313099,56.0012166926
2018-03-10 01:00:00,46.7143554513,0.0,24.6476224267,44.4892791348
2018-03-11 01:00:00,48.414105592,19.4252092786,11.6554691641,29.5348076336
2018-03-12 01:00:00,49.2461471168,28.9340072842,16.1197388543,17.474276815
2018-03-13 01:00:00,68.730401371,100.0,49.4530721876,25.7427600686
2018-03-14 01:00:00,67.8579601646,96.0372484249,74.9904185697,46.8544098705
2018-03-15 01:00:00,69.2524664024,100.0,98.6790828083,74.3741911885
2018-03-16 01:00:00,70.0062627591,100.0,98.6790828083,90.7828613954
2018-03-17 01:00:00,74.0977534624,100.0,100.0,99.1193885389
2018-03-18 01:00:00,75.2914814529,100.0,100.0,99.5596942694
2018-03-19 01:00:00,70.9185574548,84.6978174159,94.899272472,98.2997574907
2018-03-20 01:00:00,71.817361122,87.8430030694,90.8469401618,95.2487375446
2018-03-21 01:00:00,76.0474899775,100.0,90.8469401618,92.1977175985
2018-03-22 01:00:00,78.3964357065,100.0,95.9476676898,92.5471826711
2018-03-23 01:00:00,83.8538568936,100.0,100.0,95.5982026172
2018-03-24 01:00:00,88.034609928,100.0,100.0,98.6492225633
2018-03-25 01:00:00,83.8439583831,89.8581177729,96.619372591,98.873124197
2018-03-26 02:00:00,83.8746016279,89.9322781217,93.2634652982,96.6276126297
2018-03-27 02:00:00,85.0173218852,92.6977989824,90.8293982923,93.5707453938
2018-03-28 02:00:00,85.4395785091,93.4502817103,92.0267862714,92.0398832873
2018-03-29 02:00:00,85.9179987917,94.5431940764,93.5637582564,92.13998094
2018-03-30 02:00:00,85.1232277353,85.5705370966,91.1880042944,92.2595162741
2018-03-31 02:00:00,86.9138073279,94.4450510203,91.5195940645,92.0904522051
2018-04-01 02:00:00,88.1225027797,100.0,93.3385293723,92.0153759104
2018-04-02 02:00:00,90.6407699162,100.0,98.1483503401,94.335491259
2018-04-03 02:00:00,86.3366732392,78.1764004143,92.7254668048,94.7374488391
2018-04-04 02:00:00,86.5430788256,79.2229644692,85.7997882945,92.2245351465
2018-04-05 02:00:00,86.9943341841,81.5110209403,79.6367952746,86.0540167913
2018-04-06 02:00:00,87.3690636164,82.6189489078,81.1176447724,82.1847427805
2018-04-07 02:00:00,82.9905188523,47.5768908979,70.568953582,77.1077978763
2018-04-08 02:00:00,71.6180319442,0.0,43.3986132686,65.0284038743
2018-04-09 02:00:00,69.2526412569,0.0,15.8589636326,43.2755101611
2018-04-10 02:00:00,65.9836906224,0.0,0.0,19.7525256337
2018-04-11 02:00:00,64.1689302164,0.0,0.0,5.28632121088
2018-04-12 02:00:00,54.898971253,0.0,0.0,1.48029736617e-14
2018-04-13 02:00:00,57.7981483742,8.11144718424,2.70381572808,0.90127190936
2018-04-14 02:00:00,54.4410594456,0.0,2.70381572808,1.80254381872
2018-04-15 02:00:00,48.2807868257,0.0,2.70381572808,2.70381572808
2018-04-16 02:00:00,46.7023170941,0.0,0.0,1.80254381872
2018-04-17 02:00:00,45.2502780523,0.0,0.0,0.90127190936
2018-04-18 02:00:00,45.2680388324,0.039128855698,0.0130429518993,0.0043476506331
2018-04-19 02:00:00,40.697874039,0.0,0.0130429518993,0.00869530126619
2018-04-20 02:00:00,37.258195434,0.0,0.0130429518993,0.0130429518993
2018-04-21 02:00:00,43.4093110537,12.2750130716,4.09167102388,1.37258564256
2018-04-22 02:00:00,40.1808004865,5.83227782416,6.03576363193,3.38015920257
2018-04-23 02:00:00,41.6153053777,8.69494004342,8.93407697974,6.35383721185
2018-04-24 02:00:00,43.0798539948,12.7298552219,9.08569102983,8.01851054717
2018-04-25 02:00:00,43.5883360226,18.4230812237,13.2826254963,10.4341311686
2018-04-26 02:00:00,45.0845415332,24.4615773078,18.5381712511,13.6354959258
2018-04-27 02:00:00,45.3892493672,28.3060531413,23.7302372243,18.5170113239
2018-04-28 02:00:00,45.5801231437,30.9241935493,27.8972746662,23.3885610472
2018-04-29 02:00:00,44.0352850048,32.9946694158,30.7416387022,27.4563835309
2018-04-30 02:00:00,42.5779783603,25.8996841025,29.9395156892,29.5261430192
2018-05-01 02:00:00,41.415045441,24.1918344004,27.6953959729,29.4588501214
2018-05-02 02:00:00,41.1352056745,35.1733100022,28.4216095017,28.6855070546
2018-05-03 02:00:00,34.2398754847,0.0,19.7883814676,25.3017956474
2018-05-04 02:00:00,32.9884514128,0.0,11.7244366674,19.9781425456
2018-05-05 02:00:00,31.3211969115,0.0,0.0,10.5042727117
2018-05-06 02:00:00,31.4406920804,0.838037640192,0.279345880064,4.00126084916
2018-05-07 02:00:00,34.7492972971,24.0417849825,8.29327420756,2.85754002921
2018-05-08 02:00:00,34.1833031358,20.0723825739,14.9840683989,7.8522294955
2018-05-09 02:00:00,42.0214736312,75.0426543025,39.7189406196,20.9987610754
2018-05-10 02:00:00,40.6548722565,65.4584727697,53.5245032154,36.0758374113
2018-05-11 02:00:00,41.170967658,69.0779276511,69.8596849078,54.3677095809
2018-05-12 02:00:00,40.1451960884,61.884036941,65.4734791206,62.9525557479
2018-05-13 02:00:00,36.9010495757,39.1323482101,56.6981042674,64.0104227653
2018-05-14 02:00:00,35.6068195684,30.055717991,43.6907010474,55.2874281452
2018-05-15 02:00:00,36.5378898749,36.5854544614,35.2578402208,45.2155485119
2018-05-16 02:00:00,35.0344382407,29.2057228322,31.9489650949,36.9658354544
2018-05-17 02:00:00,42.0648789236,95.4418637419,53.7443470118,40.3170507758
2018-05-18 02:00:00,56.2124348292,100.0,74.882528858,53.5252803216
2018-05-19 02:00:00,51.1374423113,79.6113293576,91.6843976998,73.4370911899
2018-05-20 02:00:00,48.0961414641,67.3929702012,82.3347665196,82.9672310258
2018-05-21 02:00:00,53.0307869577,87.2177997655,78.0740331081,84.0310657758
2018-05-22 02:00:00,54.7008198749,93.9271202209,82.8459633959,81.0849210079
2018-05-23 02:00:00,54.8407146837,94.4625609938,91.8691603267,84.2630522769
2018-05-24 02:00:00,54.9056753889,94.0680392743,94.1525734963,89.6225657396
2018-05-25 02:00:00,56.9106576242,100.0,96.176866756,94.066200193
2018-05-26 02:00:00,54.9449763084,91.0145291499,95.0275228081,95.1189876868
2018-05-27 02:00:00,56.0449827735,96.0428498386,95.6857929962,95.6300608534
2018-05-28 02:00:00,60.2990993684,100.0,95.6857929962,95.4663696002
2018-05-29 02:00:00,55.3610269538,80.4546263666,92.1658254018,94.5124704647
2018-05-30 02:00:00,56.6914634441,85.7206241314,88.7250834993,92.1922339658
2018-05-31 02:00:00,63.0989146144,100.0,88.7250834993,89.8719974668
2018-06-01 02:00:00,63.2607277132,100.0,95.2402080438,90.8967916808
2018-06-02 02:00:00,63.9808174792,100.0,100.0,94.655097181
2018-06-03 02:00:00,58.1422400189,73.359217788,91.1197392627,95.4533157688
2018-06-04 02:00:00,59.5617343904,72.1802126488,81.8464768123,90.9887386917
2018-06-05 02:00:00,64.3698313619,100.0,81.8464768123,84.9375642957
2018-06-06 02:00:00,71.0223348284,100.0,90.7267375496,84.8065637247
2018-06-07 02:00:00,63.7840657489,59.7685027907,86.5895009302,86.387571764
2018-06-08 02:00:00,64.4253002161,59.580745837,73.1164162092,83.477551563
2018-06-09 02:00:00,63.8762224001,55.8380905969,58.3957797415,72.700565627
2018-06-10 02:00:00,63.9564816298,56.158078384,57.1923049393,62.9015002967
2018-06-11 02:00:00,69.2835902672,89.1851353626,67.0604347812,60.8828398207
2018-06-12 02:00:00,72.4691606268,100.0,81.7810712489,68.6779369898
2018-06-13 02:00:00,71.4558473725,94.0770087859,94.4207147162,81.0874069154
2018-06-14 02:00:00,62.2863390468,40.4796468471,78.1855518776,84.7957792809
2018-06-15 02:00:00,66.9702450009,67.8578871839,67.4715142723,80.0259269554
2018-06-16 02:00:00,68.9235559863,77.5277431208,61.9550923839,69.2040528446
2018-06-17 02:00:00,71.6905715766,94.5655520016,79.9837274354,69.8034446972
2018-06-18 02:00:00,68.2710178872,70.6975221365,80.9302724196,74.289697413
2018-06-19 02:00:00,62.8157425681,32.620426099,65.9611667457,75.6250555336
2018-06-20 02:00:00,58.9870957362,5.89698051973,36.4049762517,61.098805139
2018-06-21 02:00:00,64.2144755427,38.7728426536,25.7634164241,42.7098531405
2018-06-22 02:00:00,66.4591974141,55.4225316266,33.3641182667,31.8441703142
2018-06-23 02:00:00,63.8123149847,35.7899126557,43.3284289786,34.1519878898
2018-06-24 02:00:00,59.8145702057,6.13759447202,32.4500129181,36.3808533878
2018-06-25 02:00:00,61.5065607585,18.6875307507,20.2050126261,31.994484841
2018-06-26 02:00:00,60.6195281572,12.108178044,12.3111010889,21.6553755444
